dummy;;;;;;;;;x
nv_switch_enable_title;Make National Value Decisions Visible;;;;;;;;;x
nv_switch_enable_desc; §RThese Decisions are Permanent!!! §!;;;;;;;;;x
nv_switch_disable_title;Hide National Value Decisions;;;;;;;;;x
nv_switch_disable_desc; ;;;;;;;;;x
order_decision_title;Switch National Value to Order;;;;;;;;;x
order_decision_desc; §G+0.04% §! Mobilization Size;;;;;;;;;x
liberty_decision_title;Switch National Value to Liberty;;;;;;;;;x
liberty_decision_desc; §G+0.03% §! Mobilization Size\n §G+10% §! Political & Social Reform Desire\n §G+10% §! Diplomatic Influence\n §G+5% §! Immigration Attraction\n §G-0.1 §! Monthly War Exhaustion\n §G+5% §! RGO Output & Throughput\n §G+5% §! Research Points;;;;;;;;;x
equality_decision_title;Switch National Value to Equality;;;;;;;;;x
equality_decision_desc; §G+0.02% §! Mobilization Size\n §G+20% §! Political & Social Reform Desire\n §G+20% §! Diplomatic Influence\n §G+10% §! Immigration Attraction\n §G-0.2 §! Monthly War Exhaustion\n §G+10% §! RGO Output & Throughput\n §G+10% §! Research Points;;;;;;;;;x
tech_school_enable_change_title;Make Tech School Decisions Visible;;;;;;;;;x
tech_school_enable_change_desc; §RThese Decisions are Permanent!!! §!;;;;;;;;;x
tech_school_disable_change_title;Hide Tech School Decisions;;;;;;;;;x
tech_school_disable_change_desc; ;;;;;;;;;x
player_alliances_title;Ally all player nations.;;;;;;;;x
player_alliances_desc;Allies all player nations, by force.;;;;;;;;x
national_idea_enable_title; §GMake National Idea Decisions Visible §!;;;;;;;;;x
national_idea_enable_desc;These are permanent buffs to your nation that may be picked every 15 years.;;;;;;;;;x
national_idea_disable_title;Hide National Idea Decisions;;;;;;;;;x
national_idea_disable_desc; ;;;;;;;;;x
naval_idea_decision_title;Naval Ideas;;;;;;;;;x
naval_idea_decision_desc;Ideas to improve our nation's navy.;;;;;;;;;x
economic_idea_decision_title;Economic Ideas;;;;;;;;;x
economic_idea_decision_desc;Ideas to improve our nation's economy.;;;;;;;;;x
industry_idea_decision_title;Industrial Ideas;;;;;;;;;x
industry_idea_decision_desc;Ideas to improve our nation's industry.;;;;;;;;;x
political_idea_decision_title;Political Ideas;;;;;;;;;x
political_idea_decision_desc;Ideas to improve our nation's political situation.;;;;;;;;;x
diplomatic_idea_decision_title;Diplomatic Ideas;;;;;;;;;x
diplomatic_idea_decision_desc;Ideas to improve our nation's diplomatic situation.;;;;;;;;;x
army_quantity_idea_decision_title;Quantity Ideas;;;;;;;;;x
army_quantity_idea_decision_desc;Ideas to improve our army's quantity and logistics.;;;;;;;;;x
army_quality_idea_decision_title;Quality Ideas;;;;;;;;;x
army_quality_idea_decision_desc;Ideas to improve our army's quality.;;;;;;;;;x
